size,TP,FP,FN,precision,recall,F1
small,118,0,94,0.9999999915254238,0.5566037709594162,0.7151510513868878
medium,459,424,135,0.5198187989583026,0.7727272714263851,0.6215296469406603
large,772,0,154,0.9999999987046632,0.8336933036353205,0.9093045678241221
