size,TP,FP,FN,precision,recall,F1
small,59,0,153,0.9999999830508478,0.2783018854797081,0.43542401040317263
medium,381,408,213,0.48288973322827666,0.6414141403343196,0.5509756479724794
large,797,0,129,0.9999999987452949,0.8606911437789513,0.9251300879160049
