class,TP,FP,FN,precision,recall,F1
bicycle,62,25,24,0.712643669969613,0.72093022417523,0.7167624975111245
bus,54,32,17,0.6279069694429422,0.7605633695695301,0.6878975849733782
car,301,82,84,0.785900781237857,0.7818181797874852,0.7838536646290897
motorbike,50,12,23,0.806451599895942,0.6849314974666918,0.7407402330867529
person,836,257,233,0.7648673369031405,0.7820392883236301,0.7733575011966662
train,37,25,11,0.5967741839229971,0.7708333172743059,0.672726768595401
